source_video,frame_index,video_time_s,real_time_h,projected_area_px,normalized_projected_area,threshold_used,roi_y_min,roi_y_max,mask_area_valid,qc_flag,formulation_group,pH_condition,viscosity_group,replicate_id,include_for_fig4,mapping_used,parsing_status
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1760,70.4,14.666666666666668,2832016,4.121832050847285,79.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1780,71.2,14.833333333333334,2871651,4.179518452808055,78.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1800,72.0,15.0,2861654,4.1649684096542305,78.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1820,72.8,15.166666666666666,2870625,4.178025170395749,78.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1840,73.6,15.333333333333332,2883838,4.197255911637269,78.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1860,74.4,15.500000000000002,2918067,4.247074199834953,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1880,75.2,15.666666666666666,2925631,4.258083155163104,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1900,76.0,15.833333333333334,2933964,4.2702113445800105,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1920,76.8,16.0,2941864,4.281709328066578,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1940,77.6,16.166666666666664,2956901,4.303594793596642,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1960,78.4,16.333333333333336,2961414,4.310163198593462,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,1980,79.2,16.5,2969526,4.321969735560934,77.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
